number,word
0,zero
1,bat
2,bi
3,hiru
4,lau
5,bost
6,sei
7,zazpi
8,zortzi
9,bederatzi
10,hamar
11,hamaika
12,hamabi
13,hamahiru
14,hamalau
15,hamabost
16,hamasei
17,hamazazpi
18,hemezortzi
19,hemeretzi
20,hogei
21,hogeita bat
22,hogeita bi
23,hogeita hiru
24,hogeita lau
25,hogeita bost
26,hogeita sei
27,hogeita zazpi
28,hogeita zortzi
29,hogeita bederatzi
30,hogeita hamar
31,hogeita hamaika
32,hogeita hamabi
33,hogeita hamahiru
34,hogeita hamalau
35,hogeita hamabost
36,hogeita hamasei
37,hogeita hamazazpi
38,hogeita hemezortzi
39,hogeita hemeretzi
40,berrogei
41,berrogeita bat
42,berrogeita bi
43,berrogeita hiru
44,berrogeita lau
45,berrogeita bost
46,berrogeita sei
47,berrogeita zazpi
48,berrogeita zortzi
49,berrogeita bederatzi
50,berrogeita hamar
51,berrogeita hamaika
52,berrogeita hamabi
53,berrogeita hamahiru
54,berrogeita hamalau
55,berrogeita hamabost
56,berrogeita hamasei
57,berrogeita hamazazpi
58,berrogeita hemezortzi
59,berrogeita hemeretzi
60,hirurogei
61,hirurogeita bat
62,hirurogeita bi
63,hirurogeita hiru
64,hirurogeita lau
65,hirurogeita bost
66,hirurogeita sei
67,hirurogeita zazpi
68,hirurogeita zortzi
69,hirurogeita bederatzi
70,hirurogeita hamar
71,hirurogeita hamaika
72,hirurogeita hamabi
73,hirurogeita hamahiru
74,hirurogeita hamalau
75,hirurogeita hamabost
76,hirurogeita hamasei
77,hirurogeita hamazazpi
78,hirurogeita hemezortzi
79,hirurogeita hemeretzi
80,laurogei
81,laurogeita bat
82,laurogeita bi
83,laurogeita hiru
84,laurogeita lau
85,laurogeita bost
86,laurogeita sei
87,laurogeita zazpi
88,laurogeita zortzi
89,laurogeita bederatzi
90,laurogeita hamar
91,laurogeita hamaika
92,laurogeita hamabi
93,laurogeita hamahiru
94,laurogeita hamalau
95,laurogeita hamabost
96,laurogeita hamasei
97,laurogeita hamazazpi
98,laurogeita hemezortzi
99,laurogeita hemeretzi
100,ehun
101,ehun eta bat
102,ehun eta bi
103,ehun eta hiru
104,ehun eta lau
105,ehun eta bost
106,ehun eta sei
107,ehun eta zazpi
108,ehun eta zortzi
109,ehun eta bederatzi
110,ehun eta hamar
111,ehun eta hamaika
112,ehun eta hamabi
113,ehun eta hamahiru
114,ehun eta hamalau
115,ehun eta hamabost
116,ehun eta hamasei
117,ehun eta hamazazpi
118,ehun eta hemezortzi
119,ehun eta hemeretzi
120,ehun eta hogei
121,ehun eta hogeita bat
122,ehun eta hogeita bi
123,ehun eta hogeita hiru
124,ehun eta hogeita lau
125,ehun eta hogeita bost
126,ehun eta hogeita sei
127,ehun eta hogeita zazpi
128,ehun eta hogeita zortzi
129,ehun eta hogeita bederatzi
130,ehun eta hogeita hamar
131,ehun eta hogeita hamaika
132,ehun eta hogeita hamabi
133,ehun eta hogeita hamahiru
134,ehun eta hogeita hamalau
135,ehun eta hogeita hamabost
136,ehun eta hogeita hamasei
137,ehun eta hogeita hamazazpi
138,ehun eta hogeita hemezortzi
139,ehun eta hogeita hemeretzi
140,ehun eta berrogei
141,ehun eta berrogeita bat
142,ehun eta berrogeita bi
143,ehun eta berrogeita hiru
144,ehun eta berrogeita lau
145,ehun eta berrogeita bost
146,ehun eta berrogeita sei
147,ehun eta berrogeita zazpi
148,ehun eta berrogeita zortzi
149,ehun eta berrogeita bederatzi
150,ehun eta berrogeita hamar
151,ehun eta berrogeita hamaika
152,ehun eta berrogeita hamabi
153,ehun eta berrogeita hamahiru
154,ehun eta berrogeita hamalau
